run,target_epsilon,actual_epsilon,noise_multiplier,test_accuracy,train_time
1,0.2,0.2000000000094131,46.933173599826475,0.8877999782562256,71.47068238258362
1,0.3,0.29999999973176555,16.63360436583134,0.8852999806404114,62.252209186553955
1,0.5,0.4999999998589493,9.749491059156208,0.886900007724762,61.96910214424133
1,0.7,0.7000000011433551,7.016686097130515,0.8859999775886536,73.23230504989624
1,1.0,1.0000000004540905,4.974433329407839,0.8885999917984009,61.76900029182434
1,1.5,1.5000000064960317,3.3967044826258643,0.8862000107765198,62.205413818359375
1,2.0,1.9999999791976166,2.617147625796861,0.8876000046730042,61.904837131500244
1,4.0,3.999999954767367,1.4843971266764129,0.8884000182151794,61.85715079307556
1,6.0,6.000000112697695,1.1304005177324141,0.8885999917984009,62.22357702255249
1,8.0,7.99999952384948,0.961536397871896,0.8876000046730042,62.62384819984436
