Run Number,PCA Components,Noise Multiplier,Epochs,Total Time (s),Test Accuracy,Epsilon
1,5,3.0,400,409.61802101135254,0.7365000247955322,1.2815290800814187
2,5,3.0,400,405.9955379962921,0.739300012588501,1.2815290800814187
3,5,3.0,400,417.6481168270111,0.7397000193595886,1.2815290800814187
4,5,3.0,400,422.9449129104614,0.7386999726295471,1.2815290800814187
5,5,3.0,400,428.4057183265686,0.7462999820709229,1.2815290800814187
6,5,3.0,400,414.3926010131836,0.7332000136375427,1.2815290800814187
7,5,3.0,400,418.2330205440521,0.7347999811172485,1.2815290800814187
8,5,3.0,400,424.0248568058014,0.7422999739646912,1.2815290800814187
9,5,3.0,400,469.4665353298187,0.7389000058174133,1.2815290800814187
10,5,3.0,400,465.3933107852936,0.7462000250816345,1.2815290800814187
11,5,3.0,400,458.6695046424866,0.7437999844551086,1.2815290800814187
12,5,3.0,400,461.20545077323914,0.7401000261306763,1.2815290800814187
13,5,3.0,400,474.62432956695557,0.7404000163078308,1.2815290800814187
14,5,3.0,400,469.34647583961487,0.7418000102043152,1.2815290800814187
15,5,3.0,400,450.91089487075806,0.7414000034332275,1.2815290800814187
16,5,3.0,400,562.0564985275269,0.7401999831199646,1.2815290800814187
17,5,3.0,400,568.4169752597809,0.7458999752998352,1.2815290800814187
18,5,3.0,400,432.8596034049988,0.7386000156402588,1.2815290800814187
19,5,3.0,400,432.4009003639221,0.7396000027656555,1.2815290800814187
20,5,3.0,400,425.9314694404602,0.738099992275238,1.2815290800814187
21,5,3.0,400,424.58734011650085,0.7411999702453613,1.2815290800814187
22,5,3.0,400,426.5714876651764,0.7433000206947327,1.2815290800814187
23,5,3.0,400,411.12969303131104,0.7412999868392944,1.2815290800814187
24,5,3.0,400,407.0127513408661,0.7387999892234802,1.2815290800814187
25,5,3.0,400,406.8414218425751,0.7383000254631042,1.2815290800814187
26,5,3.0,400,409.46819400787354,0.7437999844551086,1.2815290800814187
27,5,3.0,400,410.42503452301025,0.7311000227928162,1.2815290800814187
28,5,3.0,400,404.5808458328247,0.7426999807357788,1.2815290800814187
29,5,3.0,400,400.4263217449188,0.7354999780654907,1.2815290800814187
30,5,3.0,400,401.4731945991516,0.7444999814033508,1.2815290800814187
