Run,PCA Components,Total Time (s),Test Gender Acc,Test Race Acc,Test Readmission Acc,Epsilon
1,17,44.72727608680725,0.5336052179336548,0.8111428022384644,0.8869509696960449,0.3973713085950075
2,17,48.924838066101074,0.5341947674751282,0.8105040788650513,0.8895057439804077,0.3973713085950075
3,17,43.975234031677246,0.5363073348999023,0.809521496295929,0.8884248733520508,0.3973713085950075
4,17,44.95282173156738,0.5416625738143921,0.8068684339523315,0.8871474862098694,0.3973713085950075
5,17,43.38051438331604,0.5349317193031311,0.8124693036079407,0.8916674852371216,0.3973713085950075
6,17,44.03731632232666,0.537781298160553,0.8115849494934082,0.8899970650672913,0.3973713085950075
7,17,46.45344161987305,0.5383708477020264,0.8130097389221191,0.8876388072967529,0.3973713085950075
8,17,45.26554775238037,0.536061704158783,0.8129606246948242,0.8850348591804504,0.3973713085950075
9,17,49.4413948059082,0.5386655926704407,0.809521496295929,0.8897022604942322,0.3973713085950075
10,17,48.042466163635254,0.535717785358429,0.8089810609817505,0.8909796476364136,0.3973713085950075
