Run Number,PCA Components,Noise Multiplier,Epochs,Total Time (s),Test Accuracy,Epsilon
1,250,3.0,400,493.00839257240295,0.8822000026702881,1.2815290800814187
2,250,3.0,400,493.1789836883545,0.8842999935150146,1.2815290800814187
3,250,3.0,400,488.8330910205841,0.8809999823570251,1.2815290800814187
4,250,3.0,400,484.34516644477844,0.8848000168800354,1.2815290800814187
5,250,3.0,400,501.4205815792084,0.885200023651123,1.2815290800814187
6,250,3.0,400,479.5403687953949,0.8830000162124634,1.2815290800814187
7,250,3.0,400,486.1106607913971,0.8835999965667725,1.2815290800814187
8,250,3.0,400,507.6510543823242,0.8806999921798706,1.2815290800814187
9,250,3.0,400,510.26072931289673,0.8809000253677368,1.2815290800814187
10,250,3.0,400,510.1563141345978,0.8820000290870667,1.2815290800814187
11,250,3.0,400,495.96671509742737,0.8834999799728394,1.2815290800814187
12,250,3.0,400,487.9238660335541,0.8830999732017517,1.2815290800814187
13,250,3.0,400,517.8720638751984,0.8831999897956848,1.2815290800814187
14,250,3.0,400,514.1809916496277,0.8848000168800354,1.2815290800814187
15,250,3.0,400,442.8489508628845,0.887499988079071,1.2815290800814187
16,250,3.0,400,472.26628971099854,0.8873000144958496,1.2815290800814187
17,250,3.0,400,441.39584159851074,0.8763999938964844,1.2815290800814187
18,250,3.0,400,460.391352891922,0.8881000280380249,1.2815290800814187
19,250,3.0,400,461.5342845916748,0.8806999921798706,1.2815290800814187
20,250,3.0,400,471.4946484565735,0.883400022983551,1.2815290800814187
21,250,3.0,400,477.4301459789276,0.8792999982833862,1.2815290800814187
22,250,3.0,400,472.8684823513031,0.8828999996185303,1.2815290800814187
23,250,3.0,400,478.08630204200745,0.8794999718666077,1.2815290800814187
24,250,3.0,400,450.9861102104187,0.8849999904632568,1.2815290800814187
25,250,3.0,400,460.97111344337463,0.8845000267028809,1.2815290800814187
26,250,3.0,400,430.53085494041443,0.8687999844551086,1.2815290800814187
27,250,3.0,400,437.7750449180603,0.8801000118255615,1.2815290800814187
28,250,3.0,400,426.72194504737854,0.8776000142097473,1.2815290800814187
29,250,3.0,400,426.7150914669037,0.8740000128746033,1.2815290800814187
30,250,3.0,400,409.5799148082733,0.8848999738693237,1.2815290800814187
