Run Number,PCA Components,Noise Multiplier,Epochs,Total Time (s),Test Accuracy,Epsilon
1,100,3.0,400,456.0486567020416,0.8751999735832214,1.2815290800814187
2,100,3.0,400,483.2709357738495,0.8751000165939331,1.2815290800814187
3,100,3.0,400,437.1138617992401,0.8737999796867371,1.2815290800814187
4,100,3.0,400,417.84669399261475,0.881600022315979,1.2815290800814187
5,100,3.0,400,440.53731894493103,0.8791999816894531,1.2815290800814187
6,100,3.0,400,446.7769024372101,0.8693000078201294,1.2815290800814187
7,100,3.0,400,454.4111912250519,0.878000020980835,1.2815290800814187
8,100,3.0,400,450.3584520816803,0.8759999871253967,1.2815290800814187
9,100,3.0,400,428.0867383480072,0.8762999773025513,1.2815290800814187
10,100,3.0,400,438.5164170265198,0.8776000142097473,1.2815290800814187
11,100,3.0,400,417.4995744228363,0.8820000290870667,1.2815290800814187
12,100,3.0,400,418.4567883014679,0.8784000277519226,1.2815290800814187
13,100,3.0,400,440.6818091869354,0.8759999871253967,1.2815290800814187
14,100,3.0,400,486.212420463562,0.8817999958992004,1.2815290800814187
15,100,3.0,400,452.838419675827,0.8754000067710876,1.2815290800814187
16,100,3.0,400,421.62544798851013,0.8809000253677368,1.2815290800814187
17,100,3.0,400,452.7365252971649,0.8784000277519226,1.2815290800814187
18,100,3.0,400,458.95160245895386,0.8754000067710876,1.2815290800814187
19,100,3.0,400,480.39734053611755,0.8727999925613403,1.2815290800814187
20,100,3.0,400,449.15833806991577,0.8781999945640564,1.2815290800814187
21,100,3.0,400,473.44612765312195,0.8738999962806702,1.2815290800814187
22,100,3.0,400,478.6768629550934,0.873199999332428,1.2815290800814187
23,100,3.0,400,478.858416557312,0.8812000155448914,1.2815290800814187
24,100,3.0,400,472.78734159469604,0.8702999949455261,1.2815290800814187
25,100,3.0,400,443.3773036003113,0.8762999773025513,1.2815290800814187
26,100,3.0,400,457.8676106929779,0.880299985408783,1.2815290800814187
27,100,3.0,400,480.7465150356293,0.8804000020027161,1.2815290800814187
28,100,3.0,400,477.16895747184753,0.8669000267982483,1.2815290800814187
29,100,3.0,400,484.1095349788666,0.8791000247001648,1.2815290800814187
30,100,3.0,400,448.86101770401,0.8788999915122986,1.2815290800814187
