run,target_epsilon,actual_epsilon,noise_multiplier,test_accuracy,train_time
1,0.2,0.20000000002018423,43.321183453451894,0.8549000024795532,165.91336297988892
1,0.3,0.30000000016010964,15.35563091571421,0.8554999828338623,110.77260637283325
1,0.5,0.5000000001185005,9.003161058451589,0.858299970626831,87.93440246582031
1,0.7,0.6999999962425394,6.482310043643157,0.8562999963760376,88.04034543037415
1,1.0,0.9999999959964179,4.599557113696575,0.8562999963760376,88.08255338668823
1,1.5,1.499999993657163,3.146826295263236,0.8589000105857849,86.02760362625122
1,2.0,1.9999999682090062,2.430428702779682,0.8560000061988831,86.22047758102417
1,4.0,4.000000145622972,1.3936875788112957,0.8586000204086304,87.03605794906616
1,6.0,6.000000061029777,1.0714897153124183,0.8560000061988831,86.91962456703186
1,8.0,8.00000009893832,0.9179641065904434,0.8555999994277954,86.70068001747131
