run,target_epsilon,actual_epsilon,noise_multiplier,test_accuracy,train_time
4,1,1.000000009,3.290013017,0.778800011,111.2833779
5,1,1.000000009,3.290013017,0.842299998,111.5331063
6,1,1.000000009,3.290013017,0.717800021,111.3390803
7,1,1.000000009,3.290013017,0.837100029,111.7632413
8,1,1.000000009,3.290013017,0.763300002,111.3805363
9,1,1.000000009,3.290013017,0.796299994,111.1896377
10,1,1.000000009,3.290013017,0.810800016,111.4186563
1,1.5,1.499999985,2.278603396,0.835699975,112.3060975
2,1.5,1.499999985,2.278603396,0.813799977,111.1174545
3,1.5,1.499999985,2.278603396,0.770600021,111.2102201
4,1.5,1.499999985,2.278603396,0.816399992,111.2706759
5,1.5,1.499999985,2.278603396,0.735800028,111.5084834
6,1.5,1.499999985,2.278603396,0.728900015,112.3370917
7,1.5,1.499999985,2.278603396,0.838500023,111.1358979
8,1.5,1.499999985,2.278603396,0.447299987,112.2835977
9,1.5,1.499999985,2.278603396,0.840499997,112.4082701
10,1.5,1.499999985,2.278603396,0.825299978,112.367475
1,2,1.999999991,1.785396118,0.835600019,112.4111438
2,2,1.999999991,1.785396118,0.724600017,110.9689512
3,2,1.999999991,1.785396118,0.649200022,111.2862849
4,2,1.999999991,1.785396118,0.82160002,142.0318363
5,2,1.999999991,1.785396118,0.824899971,111.4249671
6,2,1.999999991,1.785396118,0.746599972,111.1750166
7,2,1.999999991,1.785396118,0.775699973,112.1133208
8,2,1.999999991,1.785396118,0.770099998,111.2664976
9,2,1.999999991,1.785396118,0.819500029,112.0864501
10,2,1.999999991,1.785396118,0.1153,112.4930305
1,4,3.999999976,1.085366938,0.838999987,111.4576883
2,4,3.999999976,1.085366938,0.813600004,111.4465613
3,4,3.999999976,1.085366938,0.822899997,109.6364439
4,4,3.999999976,1.085366938,0.818899989,111.8773348
5,4,3.999999976,1.085366938,0.764900029,108.2933323
6,4,3.999999976,1.085366938,0.818899989,107.398864
7,4,3.999999976,1.085366938,0.809199989,108.7157471
8,4,3.999999976,1.085366938,0.800599992,109.9170756
9,4,3.999999976,1.085366938,0.841300011,111.1891644
10,4,3.999999976,1.085366938,0.83130002,108.3087804
1,6,6.000000163,0.872074955,0.836300015,109.3790679
2,6,6.000000163,0.872074955,0.793500006,107.5059261
3,6,6.000000163,0.872074955,0.815599978,103.7102642
4,6,6.000000163,0.872074955,0.824100018,104.3611305
5,6,6.000000163,0.872074955,0.792599976,115.2796836
6,6,6.000000163,0.872074955,0.78670001,114.2308524
7,6,6.000000163,0.872074955,0.831799984,102.0278602
8,6,6.000000163,0.872074955,0.526899993,105.7190294
9,6,6.000000163,0.872074955,0.826099992,109.7105844
10,6,6.000000163,0.872074955,0.833500028,107.2505426
1,8,8.000000499,0.769860997,0.820299983,107.6995506
2,8,8.000000499,0.769860997,0.821399987,106.8659134
3,8,8.000000499,0.769860997,0.796599984,103.7534542
4,8,8.000000499,0.769860997,0.787500024,109.7467186
5,8,8.000000499,0.769860997,0.842999995,104.9333847
6,8,8.000000499,0.769860997,0.797900021,111.2731464
7,8,8.000000499,0.769860997,0.836000025,110.6742759
8,8,8.000000499,0.769860997,0.838400006,110.3471143
9,8,8.000000499,0.769860997,0.811800003,103.5867705
10,8,8.000000499,0.769860997,0.845499992,108.3396122
