Run,PCA Components,Total Time (s),Test Gender Acc,Test Race Acc,Test Readmission Acc,Epsilon
1,43,48.1361939907074,0.5540434122085571,0.8091284036636353,0.887245774269104,0.3973713085950075
2,43,43.22762203216553,0.5529134273529053,0.8073597550392151,0.884838342666626,0.3973713085950075
3,43,43.75417447090149,0.5506534576416016,0.8101110458374023,0.885526180267334,0.3973713085950075
4,43,43.143468141555786,0.5488847494125366,0.808440625667572,0.8884739875793457,0.3973713085950075
5,43,44.546639919281006,0.5552225708961487,0.8159084320068359,0.8907340168952942,0.3973713085950075
6,43,44.55286145210266,0.5534047484397888,0.8132553696632385,0.8883266448974609,0.3973713085950075
7,43,43.50147986412048,0.5500638484954834,0.8073105812072754,0.8848875164985657,0.3973713085950075
8,43,42.328125,0.5497199296951294,0.8082932233810425,0.8876879215240479,0.3973713085950075
9,43,42.25134825706482,0.5594477653503418,0.8107005953788757,0.8886705040931702,0.3973713085950075
10,43,44.55570673942566,0.5505551695823669,0.8122236132621765,0.8912253379821777,0.3973713085950075
