Run Number,PCA Components,Noise Multiplier,Epochs,Total Time (s),Test Accuracy,Epsilon
1,0,3.0,400,458.3248426914215,0.8716999888420105,1.2815290800814187
2,0,3.0,400,433.5881986618042,0.8697999715805054,1.2815290800814187
3,0,3.0,400,452.50360131263733,0.847000002861023,1.2815290800814187
4,0,3.0,400,463.1816282272339,0.8669999837875366,1.2815290800814187
5,0,3.0,400,451.7780876159668,0.8582000136375427,1.2815290800814187
6,0,3.0,400,443.64993119239807,0.8633999824523926,1.2815290800814187
7,0,3.0,400,431.0120346546173,0.8711000084877014,1.2815290800814187
8,0,3.0,400,445.1008403301239,0.8607000112533569,1.2815290800814187
9,0,3.0,400,446.641095161438,0.857200026512146,1.2815290800814187
10,0,3.0,400,434.64295744895935,0.8460000157356262,1.2815290800814187
11,0,3.0,400,426.199481010437,0.8669999837875366,1.2815290800814187
12,0,3.0,400,445.61116576194763,0.8675000071525574,1.2815290800814187
13,0,3.0,400,474.6849629878998,0.8568999767303467,1.2815290800814187
14,0,3.0,400,462.80419993400574,0.8725000023841858,1.2815290800814187
15,0,3.0,400,435.52626037597656,0.8662999868392944,1.2815290800814187
16,0,3.0,400,430.0788495540619,0.8637999892234802,1.2815290800814187
17,0,3.0,400,442.27134823799133,0.8550000190734863,1.2815290800814187
18,0,3.0,400,457.359334230423,0.8689000010490417,1.2815290800814187
19,0,3.0,400,520.2270724773407,0.8738999962806702,1.2815290800814187
20,0,3.0,400,530.892297744751,0.8600000143051147,1.2815290800814187
21,0,3.0,400,439.66536927223206,0.8600000143051147,1.2815290800814187
22,0,3.0,400,428.8829970359802,0.8677999973297119,1.2815290800814187
23,0,3.0,400,404.95899653434753,0.8632000088691711,1.2815290800814187
24,0,3.0,400,415.1583571434021,0.8720999956130981,1.2815290800814187
25,0,3.0,400,408.5025715827942,0.8629000186920166,1.2815290800814187
26,0,3.0,400,408.7073588371277,0.8499000072479248,1.2815290800814187
27,0,3.0,400,398.9693093299866,0.8607000112533569,1.2815290800814187
28,0,3.0,400,390.95752573013306,0.8626000285148621,1.2815290800814187
29,0,3.0,400,398.720351934433,0.8572999835014343,1.2815290800814187
30,0,3.0,400,398.2636821269989,0.8693000078201294,1.2815290800814187
