Run Number,PCA Components,Noise Multiplier,Epochs,Total Time (s),Test Accuracy,Epsilon
1,784,1.55,400,138.1868178844452,0.9815999865531921,7.990298149066496
2,784,1.55,400,131.09959602355957,0.9815000295639038,7.990298149066496
3,784,1.55,400,132.43208169937134,0.9811999797821045,7.990298149066496
4,784,1.55,400,129.65274810791016,0.9810000061988831,7.990298149066496
5,784,1.55,400,121.36700940132141,0.98089998960495,7.990298149066496
6,784,1.55,400,106.49504494667053,0.9812999963760376,7.990298149066496
7,784,1.55,400,104.66293144226074,0.9807999730110168,7.990298149066496
8,784,1.55,400,103.41642594337463,0.9815000295639038,7.990298149066496
9,784,1.55,400,124.87110924720764,0.9807999730110168,7.990298149066496
10,784,1.55,400,128.7086124420166,0.9814000129699707,7.990298149066496
11,784,1.55,400,129.27204275131226,0.9804999828338623,7.990298149066496
12,784,1.55,400,128.80830454826355,0.9805999994277954,7.990298149066496
13,784,1.55,400,128.52965331077576,0.9815999865531921,7.990298149066496
14,784,1.55,400,128.19864463806152,0.9819999933242798,7.990298149066496
15,784,1.55,400,128.87505626678467,0.98089998960495,7.990298149066496
16,784,1.55,400,127.92756414413452,0.9804999828338623,7.990298149066496
17,784,1.55,400,127.93693852424622,0.9810000061988831,7.990298149066496
18,784,1.55,400,128.82324361801147,0.9814000129699707,7.990298149066496
19,784,1.55,400,127.81250858306885,0.9800999760627747,7.990298149066496
20,784,1.55,400,127.94416666030884,0.9812999963760376,7.990298149066496
21,784,1.55,400,107.76215839385986,0.9807999730110168,7.990298149066496
22,784,1.55,400,101.00371956825256,0.9812999963760376,7.990298149066496
23,784,1.55,400,96.59322333335876,0.9811999797821045,7.990298149066496
24,784,1.55,400,98.80007481575012,0.9814000129699707,7.990298149066496
25,784,1.55,400,98.7832100391388,0.9815999865531921,7.990298149066496
26,784,1.55,400,95.06568145751953,0.9807999730110168,7.990298149066496
27,784,1.55,400,136.19125318527222,0.9811999797821045,7.990298149066496
28,784,1.55,400,144.36791229248047,0.9814000129699707,7.990298149066496
29,784,1.55,400,144.00637674331665,0.9797000288963318,7.990298149066496
30,784,1.55,400,144.2278597354889,0.9811999797821045,7.990298149066496
