Run Number,PCA Components,Noise Multiplier,Epochs,Total Time (s),Test Accuracy,Epsilon
1,10,3.0,400,414.6792471408844,0.8206999897956848,1.2815290800814187
2,10,3.0,400,407.635372877121,0.8126000165939331,1.2815290800814187
3,10,3.0,400,415.8876121044159,0.8129000067710876,1.2815290800814187
4,10,3.0,400,417.8767399787903,0.8151000142097473,1.2815290800814187
5,10,3.0,400,414.243620634079,0.8166000247001648,1.2815290800814187
6,10,3.0,400,412.54727935791016,0.8112999796867371,1.2815290800814187
7,10,3.0,400,416.2119560241699,0.8122000098228455,1.2815290800814187
8,10,3.0,400,410.8701243400574,0.8181999921798706,1.2815290800814187
9,10,3.0,400,414.9703345298767,0.8216999769210815,1.2815290800814187
10,10,3.0,400,407.11389231681824,0.8127999901771545,1.2815290800814187
11,10,3.0,400,424.0524139404297,0.7990000247955322,1.2815290800814187
12,10,3.0,400,408.40089297294617,0.8181999921798706,1.2815290800814187
13,10,3.0,400,411.4118423461914,0.8036999702453613,1.2815290800814187
14,10,3.0,400,413.2951247692108,0.8180999755859375,1.2815290800814187
15,10,3.0,400,407.0972273349762,0.815500020980835,1.2815290800814187
16,10,3.0,400,403.11297082901,0.8154000043869019,1.2815290800814187
17,10,3.0,400,397.49766635894775,0.814300000667572,1.2815290800814187
18,10,3.0,400,397.83556962013245,0.8100000023841858,1.2815290800814187
19,10,3.0,400,409.6403274536133,0.8202999830245972,1.2815290800814187
20,10,3.0,400,406.7284963130951,0.8155999779701233,1.2815290800814187
21,10,3.0,400,408.16935110092163,0.8151000142097473,1.2815290800814187
22,10,3.0,400,406.45418667793274,0.8195000290870667,1.2815290800814187
23,10,3.0,400,401.85020112991333,0.8087000250816345,1.2815290800814187
24,10,3.0,400,404.55692410469055,0.8151999711990356,1.2815290800814187
25,10,3.0,400,409.7639751434326,0.8170999884605408,1.2815290800814187
26,10,3.0,400,404.8217134475708,0.8131999969482422,1.2815290800814187
27,10,3.0,400,409.3934452533722,0.8116999864578247,1.2815290800814187
28,10,3.0,400,407.2972514629364,0.8130000233650208,1.2815290800814187
29,10,3.0,400,402.7023391723633,0.8194000124931335,1.2815290800814187
30,10,3.0,400,404.5844933986664,0.8108999729156494,1.2815290800814187
